label,info, average_coverage ,variant_caller,sampleID,labID,paternalID,maternalID,sex,file_path
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_OneTrio,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_OneTrio,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_OneTrio,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_OneTrio,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_OneTrio,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_OneTrio,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_OneTrio_AA_BR,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_OneTrio_AA_BR,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_OneTrio_AA_BR,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_OneTrio_AA_BR,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_OneTrio_AA_BR,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_OneTrio_AA_BR,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_AA_BR/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_OneTrio_YK_HI,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_OneTrio_YK_HI,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_OneTrio_YK_HI,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_OneTrio_YK_HI,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_OneTrio_YK_HI,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_OneTrio_YK_HI,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_OneTrio_YK_HI/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DT1.4_default_human,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DT1.4_default_human,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DT1.4_default_human,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DT1.4_default_human,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DT1.4_default_human,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DT1.4_default_human,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_default_human,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_default_human,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_default_human,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_default_human,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_default_human,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_default_human,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_human,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_human,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_human,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_human,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_human,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_human,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_cattle4,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_cattle4,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_cattle4,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_cattle4,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_cattle4,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_cattle4,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_cattle3,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_cattle3,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_cattle3,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_cattle3,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_cattle3,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_cattle3,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_cattle2,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_cattle2,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_cattle2,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_cattle2,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_cattle2,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_cattle2,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_cattle1,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_cattle1,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_cattle1,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_cattle1,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_cattle1,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_cattle1,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/NA24695/NA24695.vcf.gz
GIAB_Trio1_Child,Human_Ashkenazi,62.65,DV1.4_WGS.AF_cattle5,NA24385,HG002,NA24149,NA24143,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/NA24385/NA24385.vcf.gz
GIAB_Trio1_Father,Human_Ashkenazi,54.88,DV1.4_WGS.AF_cattle5,NA24149,HG003,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/NA24149/NA24149.vcf.gz
GIAB_Trio1_Mother,Human_Ashkenazi,61.18,DV1.4_WGS.AF_cattle5,NA24143,HG004,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/NA24143/NA24143.vcf.gz
GIAB_Trio2_Child,Human_Chinese,294.32,DV1.4_WGS.AF_cattle5,NA24631,HG005,NA24694,NA24695,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/NA24631/NA24631.vcf.gz
GIAB_Trio2_Father,Human_Chinese,99.08,DV1.4_WGS.AF_cattle5,NA24694,HG006,0,0,1,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/NA24694/NA24694.vcf.gz
GIAB_Trio2_Mother,Human_Chinese,100.36,DV1.4_WGS.AF_cattle5,NA24695,HG007,0,0,2,/storage/hpc/group/UMAG_test/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/NA24695/NA24695.vcf.gz